time,precipitation_sum (mm),temperature_2m_max (°C)
10/18/2022,0,20.1
10/19/2022,0,19.4
10/20/2022,1.3,16.6
10/21/2022,14.6,11.3
10/22/2022,7.9,10.1
10/23/2022,0.5,12.1
10/24/2022,11.1,12.1
10/25/2022,17.6,11
10/26/2022,2.9,11.5
10/27/2022,0.2,15.4
10/28/2022,14.6,13.5
10/29/2022,0,14.2
10/30/2022,12.6,10.9
10/31/2022,14.7,11.9
11/1/2022,2.2,8
11/2/2022,2.6,7.6
11/3/2022,9.9,6.9
11/4/2022,23.5,12.7
11/5/2022,16.1,8.7
11/6/2022,22.3,6.9
11/7/2022,12.6,7.1
11/8/2022,0,6
11/9/2022,0,5.8
11/10/2022,0,8.1
11/11/2022,0,8.4
11/12/2022,0,8.5
11/13/2022,0,7.5
11/14/2022,0,8.6
11/15/2022,0,9.8
11/16/2022,0,9.7
11/17/2022,0,9.8
11/18/2022,0,8.1
11/19/2022,0,8.4
11/20/2022,0,9.1
11/21/2022,0,10.4
11/22/2022,22.6,7.8
11/23/2022,0.3,10.3
11/24/2022,0,12.9
11/25/2022,19.8,7.3
11/26/2022,1.4,7
11/27/2022,16,6.6
11/28/2022,6.1,3.3
11/29/2022,10.9,1.8
11/30/2022,18.7,3.3
12/1/2022,3.6,0.4
12/2/2022,1.3,4.2
12/3/2022,6.7,5
12/4/2022,1,0.3
12/5/2022,0,2
12/6/2022,0,4.4
12/7/2022,0.6,7
12/8/2022,10.7,5.3
12/9/2022,8.9,5.3
12/10/2022,9.8,6.9
12/11/2022,0.4,5.9
12/12/2022,0.2,5.3
12/13/2022,0,4.3
12/14/2022,0,4.4
12/15/2022,0,3.8
12/16/2022,0,4.5
12/17/2022,1,2.7
12/18/2022,5.3,4.5
12/19/2022,1.7,1.5
12/20/2022,13,0.9
12/21/2022,0.2,-1.2
12/22/2022,0,-3.8
12/23/2022,11.2,1.9
12/24/2022,36.5,6.5
12/25/2022,10.5,9.2
12/26/2022,23.3,9.7
12/27/2022,22.8,8.8
12/28/2022,0.5,6.5
12/29/2022,1.9,7.1
12/30/2022,19.9,8.1
12/31/2022,3.6,7.7
1/1/2023,0.2,7.3
1/2/2023,0,7
1/3/2023,0.9,8.7
1/4/2023,0.7,8.4
1/5/2023,5.6,11.7
1/6/2023,6,11
1/7/2023,2.3,8.5
1/8/2023,12.1,8.1
1/9/2023,13.4,11.1
1/10/2023,3.6,12.2
1/11/2023,0.8,11.7
1/12/2023,15.2,10
1/13/2023,7.4,11.3
1/14/2023,5,13.7
1/15/2023,9.7,9.4
1/16/2023,0.4,8.5
1/17/2023,3,7.8
1/18/2023,17.8,5.6
1/19/2023,0.2,6.3
1/20/2023,0,7.4
1/21/2023,9.9,5
1/22/2023,1.9,5
